nld_Latn;gos_Latn
Enne was 12 jaar en ze had net ouderwets veel klappen.;Enne was 12 joar en haar net alderbenaauwst veul klappen had.
Hij stond nog net niet te huilen.;Hai stond nog net nait te janken.
Zijn hoofd deed pijn, er vloog bloed uit zijn neus en snot.;Zien kop dee zeer, der luip bloud oet zien neuze en snöt.
Zijn bezoeken waren ook nat van tranen en kwiet.;Zien bezoen was ook nat van troanen en kwiel.
Het was daar hij ging, niet te min.;t Was der heer goan, nait te zuneg.
En waarom?;En woarom?
Ja waarom?;Joa woarom?
Hij zei dat Kerstmis wel bestond.;Hai zee dat Sunterkloas wel bestond.
En Wanderer, Kloas en Pieter zeden van niet.;En Wander, Kloas en Pieter zeden van nait.
En dat was de reden, dat er beuken was na schooltijd.;En dat was de reden, dat der beukerij was noa schoultied.
Achter bij het Schippad waren er steeds meer grote woorden gekomen.;Achter bie t Schietpadje waren der aal meer grode woorden kommen.
Het werd een schreeuw en geroep.;t Wuir n geroup en geroas.
En deed haar Wandeling hem een drukker geven.;En dou haar Wander hom n drukker geven.
Hij was bijna over de grond gegaan.;Enne was laankoet over grond goan.
Dou had e van Kloas een schop gekregen.;Dou haar e van Kloas n schop kregen.
En dat was mogelijk, als er iemand op de grond lag.;En dat was gemain, as aine op grond lag.
Hij was weer opgestaan en had;Hai was weer opstoan en haar
Peter verkocht een drijvel, omdat die er allemaal mee aan het lachen stond.;Pieter n driezel verkocht, omreden dat dij der aal bie te lachen stond.
Toen was het in één drie tegen één.;Dou was t in aine drij tegen ain.
En dat had ie verloren.;En dat haar e verloren.
Dik verloren.;Dik verloren.
Nu stond hij nog iets te poesten.;Nou stond e nog wat noa te poesten.
Hij slikte met zijn tong over de lippen en proefde ijs.;Hai slikte mit zien tong over lippen en pruifde iesder.
Dat was bloed.;Dat was bloud.
Dat was gemaakt van ijzer.;Dat was moakt van iesder.
Hij wist dat, omdat zijn moeder van die goud, van die pillen, in potje haar tegen bloedarmoede zitten.;Hai wis dat, omreden dat zien moeke van dat goud, van dij pillen, in potje zitten haar tegen bloudarmoude.
En haar moeder zei dat een mens niet genoeg ijs in het bloed had.;En moeke haar zegd dat n minsk den nait genoeg iesder in t bloud haar.
Hij proefde ook zout.;Hai pruifde ook zolt.
Dat zou de tien wel van de tranen zijn.;Dat zol den wel van de troanen wezen.
Hij zou nog een poosje wachten en dan naar huis lopen.;Hai zol nog n zetje wachten en den noar hoes lopen.
Hij ging over Neighbours Loan.;Hai ging over Buurma’s Loan.
Daar zouden die mislukte borst voorbest niet zijn.;Doar zollen dij misselke kwasten veurvast nait wezen.
Sterkteglas bestaat wel!;Sunterkloas beston wel!
Hij wist het veilig.;Hai wos t sekuur.
Vanzelfsprekend waren er ook hulporganisaties.;Vanzulvens waren der ook hulp Sunterkloazen.
Dat kon je ook zien.;Dat kon je ook zain.
Die zagen er soms niet zo mooi uit als de enige echte.;Dij zagen der maistied nait zo schier oet as de ainege echte.
Het was begonnen met hoezel, maar dat was veranderd in sneeuw.;t Was begonnen mit hoagel, mor dij was overgoan in snij.
De wind had de sneeuw alle kanten opblazen.;Wind haar snij ale kaanten opbloazen.
Je kon er met goed verstand niet buiten zijn.;Je kon der mit goud fersoun nait boeten wezen.
Duizenden spitten steken je in het gezicht.;Doezenden naaldjes prikten joe in t gezicht.
