Nederlands;Gronings
Enne was 12 jaar en had nog nooit zo hard geklapt.;Enne was 12 joar en haar net alderbenaauwst veul klappen had.
Hij stond nog net niet te janken.;Hai stond nog net nait te janken.
Zijn hoofd deed zeer, er liep bloed uit zijn neus en snot.;Zien kop dee zeer, der luip bloud oet zien neuze en snöt.
Zijn bezoen was ook nat van de tranen en kwijl.;Zien bezoen was ook nat van troanen en kwiel.
Het was er hard aan toe gegaan, niet te zachtzinnig.;t Was der heer goan, nait te zuneg.
En waarom?;En woarom?
Ja waarom?;Joa woarom?
Hij zei dat Sinterklaas wel bestond.;Hai zee dat Sunterkloas wel bestond.
En Wander, Klaas en Pieter zeiden van niet.;En Wander, Kloas en Pieter zeden van nait.
En dat was de reden dat er vechtpartijen waren na schooltijd.;En dat was de reden, dat der beukerij was noa schoultied.
Achter bij het Schietpadje waren er al meer grote woorden gevallen.;Achter bie t Schietpadje waren der aal meer grode woorden kommen.
Het werd een geroep en geroezemoes.;t Wuir n geroup en geroas.
En toen had Wander hem een dreun gegeven.;En dou haar Wander hom n drukker geven.
Enne was lange tijd over de grond gegaan.;Enne was laankoet over grond goan.
Toen kreeg hij een schop van Klaas.;Dou haar e van Kloas n schop kregen.
En dat was gemeen, als iemand op de grond lag.;En dat was gemain, as aine op grond lag.
Hij was weer opgestaan en had;Hai was weer opstoan en haar
Pieter een dreun verkocht, omdat die er al bij stond te lachen.;Pieter n driezel verkocht, omreden dat dij der aal bie te lachen stond.
Toen was het ineens drie tegen één.;Dou was t in aine drij tegen ain.
En dat had hij verloren.;En dat haar e verloren.
Dik verloren.;Dik verloren.
Nu stond hij nog wat na te puffen.;Nou stond e nog wat noa te poesten.
Hij likte met zijn tong over zijn lippen en proefde eens.;Hai slikte mit zien tong over lippen en pruifde iesder.
Dat was bloed.;Dat was bloud.
Dat smaakte naar ijzer.;Dat was moakt van iesder.
Hij wist dat, omdat zijn moeder van dat goud, van die pillen in een potje, had tegen bloedarmoede.;Hai wis dat, omreden dat zien moeke van dat goud, van dij pillen, in potje zitten haar tegen bloudarmoude.
En moeder had gezegd dat een mens dan niet genoeg ijzer in het bloed heeft.;En moeke haar zegd dat n minsk den nait genoeg iesder in t bloud haar.
Hij proefde ook zout.;Hai pruifde ook zolt.
Dat zou dan wel van de tranen zijn geweest.;Dat zol den wel van de troanen wezen.
Hij zou nog een beetje wachten en dan naar huis lopen.;Hai zol nog n zetje wachten en den noar hoes lopen.
Hij ging over Buurmanslaan.;Hai ging over Buurma’s Loan.
Daar zouden die vervelende kwasten vooropgesteld niet zijn.;Doar zollen dij misselke kwasten veurvast nait wezen.
Sinterklaas bestond wel!;Sunterkloas beston wel!
Hij was het zeker.;Hai wos t sekuur.
Vanzelfsprekend waren er ook hulp-Sinterklaassen.;Vanzulvens waren der ook hulp Sunterkloazen.
Dat kon je ook zien.;Dat kon je ook zain.
Die zagen er meestal niet zo schoon uit als de enige echte.;Dij zagen der maistied nait zo schier oet as de ainege echte.
Het was begonnen met hagel, maar dat was overgegaan in sneeuw.;t Was begonnen mit hoagel, mor dij was overgoan in snij.
De wind had de sneeuw alle kanten op geblazen.;Wind haar snij ale kaanten opbloazen.
Je kon er met geen mogelijkheid buiten zijn.;Je kon der mit goud fersoun nait boeten wezen.
Duizenden naaldjes prikten je in het gezicht.;Doezenden naaldjes prikten joe in t gezicht.
Waar ook maar een beetje sneeuw lag, bleef het liggen.;Woar ook mor n beetje lij was bleef t liggen.
Maar elke keer kreeg de wind het toch weer te pakken en dan wervelde en stoof het weer weg.;Mor elke keer kreeg de wind te wel weer te pakken en den dwirrelde en stoof t weer vot.
Iedereen bleef onderdak.;Elk en aine bleef onnerdak.
Mensen en dieren hadden bij dit weer niets anders te doen dan zeuren.;Minsk en daaier haren bie dit weer niks boeten te zuiken.
Wat wil je ervan, het was decembermaand.;Wat wol je ook t was decembermoand.
Oude mannen uit het dorp hadden dit ook al voorspeld.;Olde mannen oet t dorp haren dit ook aal veurspeld.
Berend Ham, deze zomer al.;Berend Ham, dizze zummer aal.
Het zou een strenge winter worden.;t Zol n strenge winter worden.
Het begin was er.;t Begun was der.
